timestamp,speed,acceleration,longitudinal_accel,lateral_accel,longitudinal_jerk,lateral_jerk,lead_detected,lead_distance,target_speed
1773666196.576740,0.1109,0.1279,0.0206,0.0001,0.2057,0.0010,False,nan,8.0000
1773666196.679814,0.0966,0.2777,0.0501,0.0002,0.2869,0.0006,False,nan,8.0000
1773666196.776625,0.1052,0.4277,0.0930,0.0002,0.4428,0.0002,False,nan,8.0000
1773666196.876752,0.0744,0.5778,0.1473,0.0002,0.5426,0.0002,False,nan,8.0000
1773666196.976676,0.0587,0.7283,0.2275,0.0002,0.8023,0.0003,False,nan,8.0000
1773666197.077172,0.1649,0.8778,0.3027,0.0002,0.7477,-0.0001,False,nan,8.0000
1773666197.188814,0.2171,1.0281,0.4039,0.0002,0.9072,-0.0001,False,nan,8.0000
1773666197.284374,0.2661,1.1842,0.5030,0.0003,1.0364,0.0013,False,nan,8.0000
1773666197.376471,0.6114,1.3283,0.6341,0.0007,1.4241,0.0034,False,nan,8.0000
1773666197.476641,0.3362,1.4777,0.7482,0.0011,1.1389,0.0044,False,nan,8.0000
1773666197.576488,0.7052,1.6284,0.8850,0.0002,1.3702,-0.0084,False,nan,8.0000
1773666197.676700,0.8089,1.7780,1.0136,-0.0000,1.2834,-0.0027,False,nan,8.0000
1773666197.778761,1.0561,1.9282,1.1389,-0.0004,1.2278,-0.0036,False,nan,8.0000
1773666197.876740,1.3487,2.0779,1.2676,-0.0006,1.3134,-0.0019,False,nan,8.0000
1773666197.976688,1.5193,2.2279,1.3959,-0.0003,1.2835,0.0027,False,nan,8.0000
1773666198.076629,1.7310,2.3776,1.5416,0.0016,1.4574,0.0191,False,nan,8.0000
1773666198.176445,1.9551,2.5000,1.6750,0.0019,1.3364,0.0031,False,nan,8.0000
1773666198.276783,2.2795,2.5000,1.7973,0.0033,1.2193,0.0135,False,nan,8.0000
1773666198.376511,2.3571,2.5000,1.9032,0.0065,1.0619,0.0327,False,nan,8.0000
1773666198.476509,2.6933,2.5000,1.9753,0.0074,0.7208,0.0087,False,nan,8.0000
1773666198.576616,3.1202,2.5000,2.0616,0.0088,0.8618,0.0135,False,nan,8.0000
1773666198.676513,3.0485,2.5000,2.1437,0.0080,0.8228,-0.0073,False,nan,8.0000
1773666198.782339,3.4938,2.5000,2.1934,0.0055,0.4688,-0.0240,False,nan,8.0000
1773666198.876572,3.6755,2.5000,2.2347,0.0093,0.4386,0.0403,False,nan,8.0000
1773666198.976684,3.9193,2.5000,2.2867,0.0076,0.5196,-0.0165,False,nan,8.0000
1773666199.076610,4.1566,2.5000,2.3298,0.0087,0.4317,0.0110,False,nan,8.0000
1773666199.177047,4.2723,2.5000,2.3637,0.0109,0.3374,0.0213,False,nan,8.0000
1773666199.276410,4.7108,2.5000,2.3817,0.0104,0.1810,-0.0046,False,nan,8.0000
1773666199.376637,4.8955,2.5000,2.4026,0.0107,0.2086,0.0023,False,nan,8.0000
1773666199.476205,5.2306,2.5000,2.4139,0.0078,0.1130,-0.0285,False,nan,8.0000
1773666199.642223,5.2306,2.5000,2.4235,0.0054,0.0576,-0.0145,False,nan,8.0000
1773666199.677276,5.8174,2.4251,2.4311,0.0115,0.2188,0.1734,False,nan,8.0000
1773666199.777298,5.9005,2.2750,2.4236,0.0169,-0.0748,0.0540,False,nan,8.0000
1773666199.876609,6.1821,2.1252,2.3979,0.0132,-0.2595,-0.0373,False,nan,8.0000
1773666199.978186,6.3745,2.0483,2.3350,0.0036,-0.6192,-0.0946,False,nan,8.0000
1773666200.078231,6.5006,1.9000,2.2700,0.0146,-0.6496,0.1105,False,nan,8.0000
1773666200.176693,6.6678,1.6748,2.1929,0.0186,-0.7826,0.0401,False,nan,8.0000
1773666200.276736,6.7663,1.5252,2.0954,0.0181,-0.9750,-0.0046,False,nan,8.0000
1773666200.380544,6.8690,1.4500,2.0054,0.0102,-0.8673,-0.0765,False,nan,8.0000
1773666200.477003,7.0813,1.2230,1.9094,0.0200,-0.9948,0.1018,False,nan,8.0000
1773666200.578279,7.2746,1.0751,1.8131,0.0093,-0.9506,-0.1055,False,nan,8.0000
1773666200.676534,7.4823,0.9999,1.6954,0.0066,-1.1978,-0.0280,False,nan,8.0000
1773666200.778037,7.3913,0.8641,1.5821,0.0139,-1.1166,0.0720,False,nan,8.0000
1773666200.876991,7.5011,0.7138,1.4733,0.0101,-1.0993,-0.0377,False,nan,8.0000
1773666200.976708,7.5732,0.6146,1.3594,0.0153,-1.1423,0.0513,False,nan,8.0000
1773666201.079471,7.7052,0.5365,1.2329,0.0128,-1.2308,-0.0239,False,nan,8.0000
1773666201.180545,7.7971,0.3898,1.0978,0.0040,-1.3368,-0.0870,False,nan,8.0000
1773666201.276220,7.6607,0.4642,0.9897,0.0016,-1.1304,-0.0252,False,nan,8.0000
1773666201.376694,7.9726,0.3142,0.9043,0.0143,-0.8498,0.1270,False,nan,8.0000
1773666201.476770,8.0226,0.3140,0.8220,0.0218,-0.8220,0.0743,False,nan,8.0000
1773666201.576879,7.7990,0.4637,0.7575,0.0324,-0.6444,0.1057,False,nan,8.0000
1773666201.677779,7.8977,0.3137,0.7021,0.0161,-0.5495,-0.1610,False,nan,8.0000
1773666201.776738,7.8789,0.3137,0.6351,0.0119,-0.6764,-0.0430,False,nan,8.0000
1773666201.904226,7.8789,0.3137,0.5782,0.0082,-0.4463,-0.0284,False,nan,8.0000
1773666201.986821,7.8279,0.3136,0.5380,-0.0005,-0.4871,-0.1057,False,nan,8.0000
1773666202.080952,8.1070,0.2541,0.5054,-0.0021,-0.3463,-0.0170,False,nan,8.0000
1773666202.184933,8.1487,0.2110,0.4744,0.0030,-0.2979,0.0491,False,nan,8.0000
1773666202.287264,8.0096,0.1672,0.4274,0.0002,-0.4594,-0.0272,False,nan,8.0000
1773666202.385756,8.0124,0.2116,0.3983,-0.0024,-0.2955,-0.0272,False,nan,8.0000
1773666202.479124,8.0082,0.1366,0.3489,-0.0029,-0.5296,-0.0048,False,nan,8.0000
1773666202.577132,8.0551,0.2211,0.3338,0.0091,-0.1536,0.1220,False,nan,8.0000
1773666202.677045,8.1304,0.0709,0.3043,0.0055,-0.2956,-0.0357,False,nan,8.0000
1773666202.777081,8.1029,0.0703,0.2936,0.0190,-0.1071,0.1351,False,nan,8.0000
