timestamp,ekf_x,ekf_y,ekf_yaw,gt_x,gt_y,gt_yaw,gt_vx,gt_vy,gnss_x,gnss_y,imu_yaw_rate,imu_accel_x,odom_velocity,gnss_available,lead_x,lead_y
1773224647.937169,0.1384,0.5411,-0.0001,9.9478,0.1017,0.0057,0.1933,0.0011,10.0239,-0.5985,0.001561,0.154552,0.1934,True,61.8600,0.0000
1773224648.036853,0.1538,0.5540,-0.0002,9.9375,0.0732,-0.0083,-0.0189,0.0002,10.0239,-0.5985,0.003069,0.264164,0.0189,True,62.4000,0.0000
1773224648.139028,0.3146,1.6553,0.0007,9.9616,0.0023,0.0031,0.1031,0.0003,10.1791,0.6540,-0.001404,0.258019,0.1031,True,62.7600,0.0000
1773224648.245431,0.3188,1.7371,0.0007,10.0229,0.0424,0.0044,-0.0109,-0.0000,10.1791,0.6540,-0.010789,0.301708,0.0109,True,63.3000,0.0000
1773224648.339132,0.3241,1.8066,0.0008,10.0619,-0.0661,-0.0041,0.0767,-0.0003,7.1349,-1.0330,-0.004420,0.249436,0.0767,True,63.9000,0.0000
1773224648.435638,-0.9817,1.4342,-0.0001,10.0619,-0.0661,-0.0041,0.0767,-0.0003,7.1349,-1.0330,-0.004420,0.249436,0.0767,True,63.9000,0.0000
1773224648.535557,0.2263,1.3696,-0.0010,10.0777,0.0487,0.0089,0.2892,0.0026,11.2625,-0.8684,0.005362,0.341733,0.2892,True,64.9200,0.0000
1773224648.636174,0.2423,1.3974,-0.0007,9.9723,0.0503,0.0005,0.0825,0.0000,11.2625,-0.8684,0.000770,0.509861,0.0825,True,65.3400,0.0000
1773224648.736334,0.2489,1.4101,-0.0006,10.0321,0.0346,-0.0023,0.3729,-0.0009,9.5272,-0.0398,-0.003669,0.516038,0.3729,True,65.4600,0.0000
1773224648.835927,0.1018,1.9208,0.0016,10.1399,0.0011,0.0027,0.1504,0.0004,9.5272,-0.0398,0.002076,0.638587,0.1504,True,66.4200,0.0000
1773224648.935584,-0.3630,2.0249,0.0020,10.1419,0.0276,-0.0032,0.3930,-0.0013,8.7238,-0.1031,0.004095,0.544020,0.3930,True,67.0200,0.0000
1773224649.036866,-0.3258,2.1101,0.0019,10.2091,-0.0002,0.0053,0.3737,0.0020,8.7238,-0.1031,-0.006862,0.662734,0.3737,True,67.6200,0.0000
1773224649.146387,0.6628,1.2861,-0.0105,10.1915,-0.0305,0.0007,0.5019,0.0003,11.4195,-1.3739,0.001787,0.594781,0.5019,True,68.1600,0.0000
1773224649.242504,0.6903,1.2622,-0.0106,10.2736,0.0404,-0.0072,0.3661,-0.0026,11.4195,-1.3739,-0.002324,0.647174,0.3661,True,68.3400,0.0000
1773224649.335831,0.7694,-0.0208,-0.0335,10.3999,-0.0012,0.0020,0.6194,0.0012,10.4542,-2.8340,-0.001475,0.781248,0.6194,True,69.0000,0.0000
1773224649.435452,0.8283,-0.2272,-0.0333,10.3703,0.0191,0.0042,0.8543,0.0036,10.4542,-2.8340,-0.000997,0.783846,0.8543,True,69.9600,0.0000
1773224649.537133,0.2567,0.3402,-0.0141,10.3795,-0.0633,-0.0010,0.5970,-0.0006,9.1864,-1.2982,0.004078,0.948927,0.5970,True,70.5600,0.0000
1773224649.635603,0.3393,0.2384,-0.0139,10.4814,-0.0376,0.0094,0.8240,0.0078,9.1864,-1.2982,0.001585,0.951061,0.8240,True,71.1600,0.0000
1773224649.736963,0.8949,0.7650,0.0066,10.5405,-0.0585,-0.0012,0.7758,-0.0009,11.1032,-0.9567,0.006305,1.058236,0.7758,True,71.7600,0.0000
