timestamp,event,detail
1773666196.429214,odom_update,v=0.008
1773666196.430008,imu_predict,yr=0.0026 ax=-0.0370
1773666196.460166,imu_predict,yr=0.0026 ax=-0.0370
1773666196.463542,odom_update,v=0.034
1773666196.477306,imu_predict,yr=0.0016 ax=-0.0152
1773666196.500413,imu_predict,yr=0.0000 ax=0.0138
1773666196.512141,odom_update,v=0.105
1773666196.515115,imu_predict,yr=-0.0010 ax=-0.1064
1773666196.535355,imu_predict,yr=0.0033 ax=-0.0436
1773666196.546420,odom_update,v=0.111
1773666196.554871,imu_predict,yr=-0.0018 ax=0.1465
1773666196.575243,imu_predict,yr=0.0060 ax=0.1371
1773666196.595419,imu_predict,yr=0.0028 ax=0.0658
1773666196.598576,gnss_update,x=3.02 y=-0.51
1773666196.604736,odom_update,v=0.020
1773666196.615336,imu_predict,yr=0.0050 ax=0.1387
1773666196.635121,imu_predict,yr=0.0031 ax=0.1953
1773666196.643450,odom_update,v=0.097
1773666196.655677,imu_predict,yr=0.0146 ax=0.1967
1773666196.674942,imu_predict,yr=-0.0009 ax=0.2106
1773666196.696314,imu_predict,yr=0.0073 ax=0.2914
1773666196.698442,odom_update,v=0.146
1773666196.714851,imu_predict,yr=-0.0007 ax=0.2289
1773666196.735167,imu_predict,yr=0.0010 ax=0.2449
1773666196.743522,odom_update,v=0.105
1773666196.755319,imu_predict,yr=0.0090 ax=0.3048
1773666196.774887,imu_predict,yr=0.0027 ax=0.3359
1773666196.794544,gnss_update,x=0.40 y=0.14
1773666196.795614,imu_predict,yr=0.0012 ax=0.4045
1773666196.797963,odom_update,v=0.036
1773666196.815295,imu_predict,yr=0.0033 ax=0.4193
1773666196.835160,imu_predict,yr=0.0045 ax=0.4928
1773666196.855227,imu_predict,yr=0.0016 ax=0.4804
1773666196.858427,odom_update,v=0.074
1773666196.875039,imu_predict,yr=0.0055 ax=0.5016
1773666196.897423,imu_predict,yr=0.0048 ax=0.6213
1773666196.900622,odom_update,v=0.056
1773666196.915291,imu_predict,yr=-0.0004 ax=0.5919
1773666196.934967,imu_predict,yr=0.0062 ax=0.6591
1773666196.944163,odom_update,v=0.059
1773666196.955103,imu_predict,yr=0.0022 ax=0.6804
1773666196.974930,imu_predict,yr=0.0065 ax=0.6818
1773666196.993133,gnss_update,x=4.61 y=0.70
1773666196.994774,odom_update,v=0.089
1773666196.995670,imu_predict,yr=0.0017 ax=0.7135
1773666197.015295,imu_predict,yr=-0.0108 ax=0.7782
1773666197.035211,imu_predict,yr=0.0052 ax=0.7233
1773666197.044845,odom_update,v=0.165
1773666197.054946,imu_predict,yr=0.0052 ax=0.7573
1773666197.075067,imu_predict,yr=0.0009 ax=0.7285
1773666197.093059,odom_update,v=0.177
1773666197.095018,imu_predict,yr=-0.0017 ax=0.8214
1773666197.115122,imu_predict,yr=-0.0037 ax=0.9650
1773666197.136607,imu_predict,yr=0.0026 ax=0.8257
1773666197.145482,odom_update,v=0.217
1773666197.155713,imu_predict,yr=0.0001 ax=0.9831
1773666197.175372,imu_predict,yr=0.0008 ax=0.9779
1773666197.195592,imu_predict,yr=-0.0006 ax=0.9469
1773666197.197035,gnss_update,x=3.42 y=-1.28
1773666197.216118,odom_update,v=0.287
1773666197.216955,imu_predict,yr=-0.0006 ax=0.9469
1773666197.235284,imu_predict,yr=-0.0017 ax=1.0418
1773666197.250453,odom_update,v=0.266
1773666197.255309,imu_predict,yr=0.0009 ax=1.0992
1773666197.275283,imu_predict,yr=-0.0021 ax=1.0593
1773666197.294894,odom_update,v=0.207
1773666197.295971,imu_predict,yr=0.0014 ax=1.2252
1773666197.315318,imu_predict,yr=0.0051 ax=1.2721
1773666197.335186,imu_predict,yr=-0.0027 ax=1.3216
1773666197.343475,odom_update,v=0.611
1773666197.354878,imu_predict,yr=-0.0028 ax=1.2078
1773666197.375078,imu_predict,yr=0.0040 ax=1.3773
1773666197.393069,gnss_update,x=2.25 y=0.72
1773666197.394459,odom_update,v=0.461
1773666197.395478,imu_predict,yr=-0.0060 ax=1.2837
1773666197.422006,imu_predict,yr=-0.0060 ax=1.2837
1773666197.435393,imu_predict,yr=0.0037 ax=1.3195
1773666197.449912,odom_update,v=0.336
1773666197.455379,imu_predict,yr=0.0023 ax=1.3666
1773666197.475195,imu_predict,yr=0.0106 ax=1.3947
1773666197.493759,odom_update,v=0.458
1773666197.495317,imu_predict,yr=-0.0024 ax=1.5204
1773666197.515061,imu_predict,yr=-0.0083 ax=1.5188
1773666197.534979,imu_predict,yr=0.0137 ax=1.5010
1773666197.543581,odom_update,v=0.705
1773666197.555085,imu_predict,yr=0.0030 ax=1.5304
1773666197.575157,imu_predict,yr=-0.0064 ax=1.6603
1773666197.592884,gnss_update,x=3.70 y=-2.17
1773666197.596165,imu_predict,yr=0.0015 ax=1.6376
1773666197.597989,odom_update,v=0.878
1773666197.615134,imu_predict,yr=-0.0025 ax=1.7246
1773666197.635468,imu_predict,yr=0.0106 ax=1.6570
1773666197.645877,odom_update,v=0.809
1773666197.655056,imu_predict,yr=-0.0052 ax=1.7274
1773666197.675138,imu_predict,yr=-0.0019 ax=1.7425
1773666197.693785,odom_update,v=1.076
1773666197.695148,imu_predict,yr=0.0023 ax=1.7869
1773666197.715064,imu_predict,yr=0.0049 ax=1.9151
1773666197.735133,imu_predict,yr=0.0013 ax=1.8486
1773666197.748230,odom_update,v=1.056
1773666197.754941,imu_predict,yr=-0.0041 ax=1.8304
1773666197.775277,imu_predict,yr=-0.0023 ax=1.8490
1773666197.795451,imu_predict,yr=-0.0001 ax=1.9118
1773666197.805620,gnss_update,x=6.29 y=0.19
1773666197.806638,odom_update,v=1.177
1773666197.815332,imu_predict,yr=0.0019 ax=1.9136
1773666197.835273,imu_predict,yr=0.0054 ax=1.9339
1773666197.843657,odom_update,v=1.349
1773666197.855281,imu_predict,yr=-0.0065 ax=1.9858
1773666197.883178,imu_predict,yr=0.0075 ax=1.9581
1773666197.893681,odom_update,v=1.281
1773666197.895245,imu_predict,yr=-0.0072 ax=2.0976
1773666197.920429,imu_predict,yr=0.0086 ax=2.0057
1773666197.938942,imu_predict,yr=0.0028 ax=2.1604
1773666197.949586,odom_update,v=1.519
1773666197.956342,imu_predict,yr=0.0076 ax=2.0444
1773666197.975339,imu_predict,yr=0.0008 ax=2.1228
1773666197.995355,imu_predict,yr=-0.0032 ax=2.1845
1773666197.999188,gnss_update,x=5.26 y=0.34
1773666198.000868,odom_update,v=1.605
1773666198.018271,imu_predict,yr=-0.0055 ax=2.1233
1773666198.037333,imu_predict,yr=-0.0069 ax=2.3001
1773666198.052231,odom_update,v=1.731
1773666198.055162,imu_predict,yr=-0.0049 ax=2.2993
1773666198.074762,imu_predict,yr=0.0005 ax=2.3584
1773666198.095438,imu_predict,yr=0.0015 ax=2.2614
1773666198.097729,odom_update,v=1.848
1773666198.115301,imu_predict,yr=-0.0037 ax=2.3488
1773666198.135229,imu_predict,yr=-0.0024 ax=2.4525
1773666198.143391,odom_update,v=1.955
1773666198.155479,imu_predict,yr=0.0065 ax=2.3762
1773666198.174705,imu_predict,yr=0.0019 ax=2.4308
1773666198.192998,gnss_update,x=2.41 y=0.25
1773666198.196333,imu_predict,yr=0.0160 ax=2.4623
1773666198.200238,odom_update,v=2.094
1773666198.215117,imu_predict,yr=0.0004 ax=2.4971
1773666198.235087,imu_predict,yr=0.0061 ax=2.5833
1773666198.244121,odom_update,v=2.279
1773666198.255108,imu_predict,yr=0.0024 ax=2.5796
1773666198.275480,imu_predict,yr=0.0048 ax=2.4905
1773666198.295212,imu_predict,yr=0.0070 ax=2.4862
1773666198.297525,odom_update,v=2.463
1773666198.316776,imu_predict,yr=0.0001 ax=2.5267
1773666198.334850,imu_predict,yr=0.0033 ax=2.5794
1773666198.343587,odom_update,v=2.357
1773666198.355231,imu_predict,yr=0.0024 ax=2.5092
1773666198.375341,imu_predict,yr=0.0106 ax=2.5033
1773666198.393232,gnss_update,x=5.82 y=0.37
1773666198.394895,odom_update,v=2.224
1773666198.395922,imu_predict,yr=0.0069 ax=2.5523
1773666198.419317,imu_predict,yr=-0.0021 ax=2.5858
1773666198.435382,imu_predict,yr=0.0096 ax=2.5437
1773666198.443638,odom_update,v=2.693
1773666198.455367,imu_predict,yr=0.0148 ax=2.4622
1773666198.475219,imu_predict,yr=0.0046 ax=2.3837
1773666198.493635,odom_update,v=2.831
1773666198.496513,imu_predict,yr=0.0092 ax=2.5207
1773666198.515103,imu_predict,yr=0.0021 ax=2.5689
1773666198.535086,imu_predict,yr=-0.0029 ax=2.4646
1773666198.547855,odom_update,v=3.120
1773666198.555027,imu_predict,yr=-0.0027 ax=2.5246
1773666198.575140,imu_predict,yr=0.0053 ax=2.5504
1773666198.592843,gnss_update,x=5.56 y=1.55
1773666198.594461,odom_update,v=3.034
1773666198.597557,imu_predict,yr=0.0010 ax=2.4897
1773666198.615203,imu_predict,yr=0.0032 ax=2.5191
1773666198.637203,imu_predict,yr=-0.0021 ax=2.6108
1773666198.654283,odom_update,v=3.049
1773666198.657091,imu_predict,yr=0.0006 ax=2.5215
1773666198.679368,imu_predict,yr=0.0013 ax=2.6095
1773666198.695083,imu_predict,yr=-0.0075 ax=2.4803
1773666198.700390,odom_update,v=3.253
1773666198.715089,imu_predict,yr=-0.0037 ax=2.4408
1773666198.735753,imu_predict,yr=0.0065 ax=2.4338
1773666198.745634,odom_update,v=3.494
1773666198.755180,imu_predict,yr=0.0044 ax=2.4990
1773666198.775839,imu_predict,yr=0.0094 ax=2.4729
1773666198.795904,imu_predict,yr=-0.0056 ax=2.5475
1773666198.804116,gnss_update,x=4.17 y=-2.70
1773666198.805104,odom_update,v=3.685
1773666198.816604,imu_predict,yr=0.0017 ax=2.4649
1773666198.834908,imu_predict,yr=-0.0055 ax=2.5148
1773666198.850895,odom_update,v=3.676
1773666198.857641,imu_predict,yr=0.0105 ax=2.5743
1773666198.875205,imu_predict,yr=0.0084 ax=2.4689
1773666198.893796,odom_update,v=3.834
1773666198.895130,imu_predict,yr=0.0030 ax=2.5139
1773666198.915071,imu_predict,yr=0.0052 ax=2.5611
1773666198.935125,imu_predict,yr=0.0044 ax=2.4968
1773666198.943790,odom_update,v=3.919
1773666198.955154,imu_predict,yr=-0.0002 ax=2.4719
1773666198.975393,imu_predict,yr=0.0045 ax=2.5249
1773666198.993090,gnss_update,x=10.29 y=-1.40
1773666199.006148,imu_predict,yr=-0.0036 ax=2.5048
1773666199.008827,odom_update,v=4.044
1773666199.018881,imu_predict,yr=-0.0033 ax=2.5041
1773666199.035174,imu_predict,yr=-0.0009 ax=2.5535
1773666199.044948,odom_update,v=4.157
1773666199.055086,imu_predict,yr=-0.0007 ax=2.5693
1773666199.075289,imu_predict,yr=0.0036 ax=2.5743
1773666199.093383,odom_update,v=4.383
1773666199.094878,imu_predict,yr=-0.0080 ax=2.4855
1773666199.114872,imu_predict,yr=0.0038 ax=2.5198
1773666199.135197,imu_predict,yr=0.0001 ax=2.4046
1773666199.143788,odom_update,v=4.272
1773666199.155168,imu_predict,yr=0.0001 ax=2.5993
1773666199.174810,imu_predict,yr=0.0054 ax=2.5558
1773666199.195718,imu_predict,yr=0.0037 ax=2.5359
1773666199.198677,gnss_update,x=7.32 y=2.15
1773666199.200906,odom_update,v=4.792
1773666199.215121,imu_predict,yr=0.0037 ax=2.5617
1773666199.235141,imu_predict,yr=-0.0067 ax=2.6271
1773666199.245823,odom_update,v=4.711
1773666199.255032,imu_predict,yr=0.0007 ax=2.5205
1773666199.274801,imu_predict,yr=0.0113 ax=2.4575
1773666199.293758,odom_update,v=4.871
1773666199.295643,imu_predict,yr=0.0059 ax=2.5686
1773666199.315159,imu_predict,yr=0.0020 ax=2.4582
1773666199.335195,imu_predict,yr=-0.0042 ax=2.4672
1773666199.347170,odom_update,v=4.896
1773666199.355195,imu_predict,yr=-0.0038 ax=2.5429
1773666199.375218,imu_predict,yr=0.0024 ax=2.5211
1773666199.394212,gnss_update,x=10.29 y=-1.27
1773666199.395060,imu_predict,yr=0.0001 ax=2.5048
1773666199.399139,odom_update,v=5.193
1773666199.415192,imu_predict,yr=0.0028 ax=2.5608
1773666199.435608,imu_predict,yr=-0.0070 ax=2.5335
1773666199.443784,odom_update,v=5.231
1773666199.455535,imu_predict,yr=0.0014 ax=2.5345
1773666199.474955,imu_predict,yr=-0.0016 ax=2.4777
1773666199.494152,odom_update,v=5.297
1773666199.494861,imu_predict,yr=0.0054 ax=2.4815
1773666199.515227,imu_predict,yr=0.0070 ax=2.5289
1773666199.535266,imu_predict,yr=0.0026 ax=2.5167
1773666199.546136,odom_update,v=5.230
1773666199.554904,imu_predict,yr=0.0072 ax=2.5072
1773666199.576615,imu_predict,yr=-0.0047 ax=2.5394
1773666199.593987,gnss_update,x=9.12 y=2.30
1773666199.594688,imu_predict,yr=0.0068 ax=2.5472
1773666199.598392,odom_update,v=5.511
1773666199.615678,imu_predict,yr=0.0006 ax=2.4463
1773666199.635112,imu_predict,yr=-0.0013 ax=2.5943
1773666199.644113,odom_update,v=5.817
1773666199.655122,imu_predict,yr=0.0014 ax=2.4922
1773666199.675120,imu_predict,yr=0.0079 ax=2.4746
1773666199.693750,odom_update,v=5.878
1773666199.697486,imu_predict,yr=-0.0026 ax=2.4583
1773666199.715241,imu_predict,yr=-0.0010 ax=2.4702
1773666199.735263,imu_predict,yr=0.0172 ax=2.4798
1773666199.744696,odom_update,v=5.900
1773666199.755700,imu_predict,yr=-0.0026 ax=2.4174
1773666199.775361,imu_predict,yr=0.0080 ax=2.3812
1773666199.795155,gnss_update,x=12.57 y=-3.71
1773666199.795963,imu_predict,yr=0.0046 ax=2.3220
1773666199.797697,odom_update,v=6.240
1773666199.814924,imu_predict,yr=-0.0011 ax=2.3236
1773666199.835176,imu_predict,yr=0.0009 ax=2.3136
1773666199.848939,odom_update,v=6.182
1773666199.855444,imu_predict,yr=-0.0058 ax=2.2332
1773666199.875057,imu_predict,yr=-0.0013 ax=2.2518
1773666199.900211,imu_predict,yr=-0.0120 ax=2.1978
1773666199.902903,odom_update,v=6.399
1773666199.915081,imu_predict,yr=0.0072 ax=2.0828
1773666199.935282,imu_predict,yr=-0.0029 ax=2.1452
1773666199.955624,odom_update,v=6.374
1773666199.956573,imu_predict,yr=0.0098 ax=2.2160
1773666199.975399,imu_predict,yr=-0.0080 ax=1.9786
1773666199.999133,imu_predict,yr=-0.0073 ax=2.0429
1773666200.001196,gnss_update,x=9.38 y=-0.74
1773666200.002804,odom_update,v=6.407
1773666200.015141,imu_predict,yr=0.0048 ax=2.0603
1773666200.034831,imu_predict,yr=0.0068 ax=1.9830
1773666200.060991,imu_predict,yr=-0.0073 ax=2.0007
1773666200.064424,odom_update,v=6.501
1773666200.079332,imu_predict,yr=0.0119 ax=1.9017
1773666200.095395,imu_predict,yr=0.0011 ax=1.9397
1773666200.116931,imu_predict,yr=0.0033 ax=1.8147
1773666200.118999,odom_update,v=6.619
1773666200.134706,imu_predict,yr=0.0009 ax=1.7363
1773666200.144685,odom_update,v=6.668
1773666200.154924,imu_predict,yr=-0.0014 ax=1.8257
1773666200.175152,imu_predict,yr=0.0061 ax=1.7563
